DATE,LAT,LON,CHL,PAR,POC,PIC,SST
2016-06-03T02:49:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-06-04T02:59:59.000Z,6.02,99.98,-32767,44.962,-32767,-32767,-32767
2016-06-05T02:39:59.000Z,6.02,99.98,0.39,54.724,95.6,0.000026,33.67
2016-06-06T02:50:00.000Z,6.02,99.98,0.38,54.642,97.4,0.000012,32.83
2016-06-07T02:25:00.000Z,6.02,99.98,-32767,50.202,-32767,-32767,-32767
2016-06-08T02:40:00.000Z,6.02,99.98,-32767,47.182,-32767,-32767,-32767
2016-06-09T02:15:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-06-10T02:54:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,32.18
2016-06-11T02:59:59.000Z,6.02,99.98,-32767,53.768,-32767,-32767,30.72
2016-06-12T02:45:00.000Z,6.02,99.98,-32767,54.102,-32767,-32767,-32767
2016-06-13T02:54:59.000Z,6.02,99.98,-32767,47.278,-32767,-32767,-32767
2016-06-14T02:29:59.000Z,6.02,99.98,-32767,49.444,-32767,-32767,-32767
2016-06-15T02:44:59.000Z,6.02,99.98,-32767,47.616,-32767,-32767,-32767
2016-06-16T02:19:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-06-17T02:59:59.000Z,6.02,99.98,-32767,47.388,-32767,-32767,-32767
2016-06-18T02:09:59.000Z,6.02,99.98,-32767,12.074,-32767,-32767,-32767
2016-06-19T02:49:59.000Z,6.02,99.98,-32767,45.054,-32767,-32767,-32767
2016-06-20T02:59:59.000Z,6.02,99.98,-32767,33.454,-32767,-32767,-32767
2016-06-21T02:39:59.000Z,6.02,99.98,-32767,18.184,-32767,-32767,-32767
2016-06-22T02:50:00.000Z,6.02,99.98,-32767,47.932,-32767,-32767,-32767
2016-06-23T02:25:00.000Z,6.02,99.98,-32767,47.37,-32767,-32767,-32767
2016-06-24T02:40:00.000Z,6.02,99.98,0.42,54.172,105,0.000104,-32767
2016-06-25T02:15:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-06-26T02:54:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-06-27T03:00:07.000Z,6.02,99.98,-32767,33.236,-32767,-32767,-32767
2016-06-28T02:45:09.000Z,6.02,99.98,-32767,30.796,-32767,-32767,-32767
2016-06-29T02:55:08.000Z,6.02,99.98,-32767,22.878,-32767,-32767,-32767
2016-06-30T02:30:08.000Z,6.02,99.98,-32767,23.436,-32767,-32767,-32767
2016-07-01T02:45:08.000Z,6.02,99.98,-32767,50.04,-32767,-32767,-32767
2016-07-02T02:20:08.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-07-03T02:59:58.000Z,6.02,99.98,-32767,53.98,-32767,-32767,32.1
2016-07-04T02:04:59.000Z,6.02,99.98,-32767,53.97,-32767,-32767,31.88
2016-07-05T02:49:59.000Z,6.02,99.98,-32767,53.34,-32767,-32767,31.24
2016-07-06T02:59:59.000Z,6.02,99.98,-32767,51.9,-32767,-32767,-32767
2016-07-07T02:39:59.000Z,6.02,99.98,-32767,22.044,-32767,-32767,-32767
2016-07-08T02:49:59.000Z,6.02,99.98,-32767,47.042,-32767,-32767,-32767
2016-07-09T02:24:59.000Z,6.02,99.98,-32767,48.128,-32767,-32767,-32767
2016-07-10T02:40:00.000Z,6.02,99.98,-32767,53.498,-32767,-32767,-32767
2016-07-11T02:15:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-07-12T02:54:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-07-13T03:00:00.000Z,6.02,99.98,-32767,24.486,-32767,-32767,-32767
2016-07-14T02:45:00.000Z,6.02,99.98,-32767,50.002,-32767,-32767,-32767
2016-07-15T02:54:59.000Z,6.02,99.98,-32767,44.88,-32767,-32767,-32767
2016-07-16T02:29:59.000Z,6.02,99.98,0.58,54.252,138.8,0.0003,-32767
2016-07-17T02:44:59.000Z,6.02,99.98,0.57,54.042,159.6,0.00005399,29.98
2016-07-18T02:19:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-07-19T03:00:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-07-20T02:04:59.000Z,6.02,99.98,-32767,18.212,-32767,-32767,-32767
2016-07-21T02:49:59.000Z,6.02,99.98,-32767,37.612,-32767,-32767,-32767
2016-07-22T02:59:59.000Z,6.02,99.98,-32767,54.426,-32767,-32767,-32767
2016-07-23T02:39:59.000Z,6.02,99.98,-32767,52.614,-32767,-32767,-32767
2016-07-24T02:49:59.000Z,6.02,99.98,0.6,54.38,158.8,0.000406,30.36
2016-07-25T02:24:59.000Z,6.02,99.98,-32767,41.2,-32767,-32767,-32767
2016-07-26T02:40:00.000Z,6.02,99.98,0.35,54.548,102.6,0.00002,-32767
2016-07-27T02:15:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-07-28T02:54:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-07-29T03:00:00.000Z,6.02,99.98,-32767,54.49,-32767,-32767,30.91
2016-07-30T02:44:59.000Z,6.02,99.98,-32767,40.004,-32767,-32767,-32767
2016-07-31T02:54:58.000Z,6.02,99.98,0.45,54.84,126.8,0.000012,32.39
2016-08-01T02:29:58.000Z,6.02,99.98,-32767,46.226,-32767,-32767,-32767
2016-08-02T02:44:59.000Z,6.02,99.98,0.48,54.97,137,0.000014,30.56
2016-08-03T02:19:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-08-04T03:00:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-08-05T02:04:59.000Z,6.02,99.98,-32767,52.676,-32767,-32767,-32767
2016-08-06T02:49:59.000Z,6.02,99.98,-32767,55.106,-32767,-32767,-32767
2016-08-07T02:59:59.000Z,6.02,99.98,-32767,44.666,-32767,-32767,-32767
2016-08-08T02:39:59.000Z,6.02,99.98,-32767,32.27,-32767,-32767,-32767
2016-08-09T02:49:59.000Z,6.02,99.98,-32767,50.35,-32767,-32767,-32767
2016-08-10T02:24:59.000Z,6.02,99.98,-32767,43.626,-32767,-32767,-32767
2016-08-11T02:40:00.000Z,6.02,99.98,-32767,46.898,-32767,-32767,-32767
2016-08-12T02:15:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-08-13T02:54:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-08-14T03:00:00.000Z,6.02,99.98,-32767,34.57,-32767,-32767,-32767
2016-08-15T02:44:59.000Z,6.02,99.98,-32767,52.058,-32767,-32767,-32767
2016-08-16T02:55:00.000Z,6.02,99.98,-32767,46.418,-32767,-32767,-32767
2016-08-17T02:30:00.000Z,6.02,99.98,-32767,47.41,-32767,-32767,-32767
2016-08-18T02:44:59.000Z,6.02,99.98,-32767,46.424,-32767,-32767,-32767
2016-08-19T02:19:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-08-20T03:00:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-08-21T02:59:59.000Z,6.02,99.98,-32767,50.304,-32767,-32767,-32767
2016-08-22T02:50:00.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-08-23T02:59:59.000Z,6.02,99.98,-32767,44.256,-32767,-32767,-32767
2016-08-24T02:39:59.000Z,6.02,99.98,-32767,56.534,-32767,-32767,-32767
2016-08-25T02:49:59.000Z,6.02,99.98,-32767,18.768,-32767,-32767,-32767
2016-08-26T02:24:59.000Z,6.02,99.98,-32767,51.37,-32767,-32767,-32767
2016-08-27T02:39:59.000Z,6.02,99.98,-32767,40.258,-32767,-32767,-32767
2016-08-28T02:14:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-08-29T02:54:59.000Z,6.02,99.98,-32767,-32767,-32767,-32767,-32767
2016-08-30T03:00:00.000Z,6.02,99.98,-32767,55.848,-32767,-32767,-32767
2016-08-31T02:44:59.000Z,6.02,99.98,-32767,48.416,-32767,-32767,-32767
2016-09-01T02:55:00.000Z,6.02,99.98,-32767,22.42,-32767,-32767,-32767
2016-09-02T02:30:00.000Z,6.02,99.98,-32767,56.732,-32767,-32767,-32767
2016-09-03T02:44:59.000Z,6.02,99.98,-32767,52.208,-32767,-32767,-32767
